sentence,audio_kz_wav
Қасым-Жомарт Тоқаев Ваагн Хачатурянға еліміздің қазақ-армян ынтымақтастығын мүлдем жаңа деңгейге көтеруге мүдделі екенін айтты.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_0.wav
"Келіссөз барысында тараптар сауда-экономикалық, көлік-логистика, ауыл шаруашылығы, қаржы, мәдени-гуманитарлық және цифрландыру салаларындағы ықпалдастықты нығайтудың перспективаларын талқылады.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_1.wav
Сондай-ақ аймақтық және халықаралық күн тәртібіндегі өзекті мәселелер қарастырылды.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_2.wav
«Армения – еліміздің сенімді әрі уақыт сынынан өткен жақын серіктесі.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_3.wav
"Біздің халықтарды берік достық, ортақ тарих және ұқсас мәдени-гуманитарлық құндылықтар байланыстырады.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_4.wav
"Екіжақты қатынастар барлық салада қарқынды дамып келе жатқанын айрықша атап өткім келеді», – деді Қасым-Жомарт Тоқаев.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_5.wav
"Ваагн Хачатурян мемлекет басшысына қонақжайлық танытқаны үшін алғыс айтып, Қазақстанмен өзара тиімді ынтымақтастықты одан әрі дамытуға бейілді екенін жеткізді.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_6.wav
Қазақстанға ресми сапармен Армения Президенті Ваагн Хачатурян келді.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_7.wav
«Ақорда» резиденциясында мәртебелі мейманды салтанатты қарсы алу рәсімі өтті.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_8.wav
Қасым-Жомарт Тоқаев пен Ваагн Хачатурян бір-біріне ресми делегация мүшелерін таныстырды.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_9.wav
"Содан кейін құрмет қарауылының бастығы рапорт беріп, екі елдің әнұрандары орындалды.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_10.wav
Салтанатты рәсімнен кейін президенттер келіссөз залына өтті.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_11.wav
Саран қаласындағы жылу беретін нысанның дайындығы туралы жалған ақпарат берген тұлғалар түгел жауапкершілікке тартылады.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_12.wav
Бұл туралы Премьер-министр Олжас Бектенов мәлімдеді.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_13.wav
Бүгін Үкімет отырысында шаһардағы жылу мәселесі күн тәртібінен тыс қаралды.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_14.wav
Жауаптылар тексеріс басталғанын хабарлады.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_15.wav
Оның қорытындысы құқық қорғау органдарына жіберілмек.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_16.wav
"Егер қылмыстың құрамы анықталса, кінәлілердің бәрі жазаланады.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_17.wav
"Олжас Бектенов мәселенің ушығуын қала және облыс әкімі тарапынан бақылаудың жоқтығымен байланыстырып, түйіткілді бүгін тарқатуды тапсырды.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_18.wav
"Оған қоса отырыстан кейін Энергетика министрі Саран қаласына барып, жағдайды өзі тексеретінін айтты.",/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_19.wav
Мемлекет басшысы Армения Премьер-министрі Никол Пашинянмен телефон арқылы сөйлесті.,/Users/fynnfu/PycharmProjects/KazakhTTS-Server/audio/article_kz_20.wav
